date,residential,public_litter_bins,dumped_rubbish,street_sweepings,mattresses,commingled_recycling,cardboard,hardwaste_to_landfill,hardwaste_recovered,hardwaste_total,green_waste,month
09/01/2014 12:00:00 AM,1989.18,446.88,144.1,369.6,176,570.88,174.96,64.08,0,64.08,3.98,September
01/01/2014 12:00:00 AM,1867.96,421.42,156.52,407.08,176,601.94,168.4,52,0,52,3.22,January
09/01/2018 12:00:00 AM,2239.68,177.84,114.8,201.62,433,821.11,58.22,38.62,18.2,56.82,3.62,September
08/01/2018 12:00:00 AM,2441.82,243.8,119.28,179.14,460,915.17,63.24,86.32,16.66,102.98,10.28,August
04/01/2014 12:00:00 AM,1880.06,456.47,120.38,367.58,167,558.38,173.68,42.46,0,42.46,4,April
06/01/2015 12:00:00 AM,1896,350.14,180.28,359.02,227,612.54,196.7,86.24,11.02,97.26,4.94,June
10/01/2014 12:00:00 AM,1955.32,402.84,129.06,411.72,171,608.62,162.72,51.5,0,51.5,6.98,October
12/01/2015 12:00:00 AM,2206.7,336.76,190.21,367.18,253,763.89,228.34,40.1,17.08,57.18,2.74,December
06/01/2013 12:00:00 AM,1434.32,345.62,139.6,472.36,194,463.66,171.77,36.6,0,36.6,4.92,June
03/01/2019 12:00:00 AM,2752.7,286,140,319.78,675,562.46,72.45,72.82,17.48,90.3,7.84,March
05/01/2017 12:00:00 AM,2329.93,361.5,217.9,440.26,372,782.42,223.16,40.3,14.52,54.82,8.96,May
02/01/2020 12:00:00 AM,2382.83,257.94,75.08,229.2,577,826.52,66.46,94.82,32.61,127.43,10.78,February
09/01/2019 12:00:00 AM,2932.6,303.76,77.72,237.74,471,201.06,133.34,103.96,34.39,138.35,8.06,September
11/01/2019 12:00:00 AM,2662.94,334.6,89.04,310.1,422,748.99,106.64,76.18,29.93,106.11,10.76,November
06/01/2019 12:00:00 AM,2262.16,241.34,129.22,354.43,345,798.56,69.28,41.9,27.09,68.99,7.36,June
08/01/2019 12:00:00 AM,3298.58,320.16,72.08,246.7,466,0,90.44,89.52,29.09,118.61,6.62,August
05/01/2019 12:00:00 AM,2479.2,289.1,167.46,401.78,485,890.68,72.38,63.54,27.65,91.19,10.04,May
07/01/2019 12:00:00 AM,2794.24,247.22,118.62,270.82,520,694.78,74.9,91.24,40.44,131.68,14.82,July
03/01/2020 12:00:00 AM,2627.32,254.42,101.06,268.64,782,890.26,56.36,105.64,38.4,144.04,12.4,March
10/01/2019 12:00:00 AM,2742.06,338.56,79.76,324.1,429,750.24,133.16,101.5,31.07,132.57,8.96,October
04/01/2019 12:00:00 AM,2536.18,235.74,163.22,319.6,377,857.49,70.6,51.92,14.2,66.12,7.1,April
12/01/2019 12:00:00 AM,2738.82,354.56,89.2,286.62,654,903.12,72.22,84.68,35.11,119.79,11.14,December
01/01/2020 12:00:00 AM,2608.78,379.94,99.44,293.9,460,872.4,74.58,99.5,27.28,126.78,9.06,January
